LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-07-28 22:50:21,1900-01-00 00:00:00,SCr3@tur3,62:AD:F4:29:6B:16,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
